City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2021-11-20 16:22:35,-53.15,-70.9167,46.51,57,75,40.29
1,Guaruja,BR,2021-11-20 16:27:09,-23.9931,-46.2564,76.6,68,90,2.3
2,Bredasdorp,ZA,2021-11-20 16:27:10,-34.5322,20.0403,65.28,66,96,18.66
3,Leningradskiy,RU,2021-11-20 16:27:10,69.3833,178.4167,-6.81,85,2,3.78
4,Hobart,AU,2021-11-20 16:27:11,-42.8794,147.3294,51.66,89,75,1.01
5,Ushuaia,AR,2021-11-20 16:23:48,-54.8,-68.3,44.22,70,75,40.29
6,Pingliang,CN,2021-11-20 16:27:12,35.5392,106.6861,32.83,38,34,10.76
7,Atuona,PF,2021-11-20 16:27:12,-9.8,-139.0333,79.21,67,2,12.77
8,Kundiawa,PG,2021-11-20 16:27:13,-6.0167,144.9667,60.22,96,100,2.26
9,Bethel,US,2021-11-20 16:27:13,41.3712,-73.414,45.48,53,1,1.01
10,La Ronge,CA,2021-11-20 16:27:14,55.1001,-105.2842,19.65,73,90,5.75
11,Cururupu,BR,2021-11-20 16:27:14,-1.8283,-44.8683,88.56,58,49,9.69
12,Tasiilaq,GL,2021-11-20 16:27:15,65.6145,-37.6368,28.56,95,100,18.1
13,Barrow,US,2021-11-20 16:27:15,71.2906,-156.7887,8.62,72,90,11.5
14,Bambous Virieux,MU,2021-11-20 16:27:15,-20.3428,57.7575,77.25,73,40,10.36
15,Laguna,US,2021-11-20 16:23:54,38.421,-121.4238,56.41,93,1,1.01
16,Karakol,KG,2021-11-20 16:27:16,42.4907,78.3936,20.93,55,2,6.04
17,Saint-Philippe,RE,2021-11-20 16:27:17,-21.3585,55.7679,77.22,76,49,9.33
18,Tecoanapa,MX,2021-11-20 16:27:18,16.5167,-98.75,82.81,57,0,0.78
19,Santa Maria,BR,2021-11-20 16:27:18,-29.6842,-53.8069,79.9,28,0,6.91
20,Porto Novo,BJ,2021-11-20 16:27:19,6.4965,2.6036,87.62,72,66,9.01
21,Tomatlan,MX,2021-11-20 16:27:19,19.9333,-105.25,81.81,40,8,0.69
22,Arraial Do Cabo,BR,2021-11-20 16:27:20,-22.9661,-42.0278,75.06,78,75,19.57
23,Dedza,MW,2021-11-20 16:27:20,-14.3779,34.3332,70.32,54,71,4.56
24,Hilo,US,2021-11-20 16:27:21,19.7297,-155.09,76.28,87,90,6.91
25,Cabo San Lucas,MX,2021-11-20 16:23:12,22.8909,-109.9124,78.51,57,1,3.0
26,Rikitea,PF,2021-11-20 16:27:21,-23.1203,-134.9692,73.04,64,100,8.63
27,Thompson,CA,2021-11-20 16:26:31,55.7435,-97.8558,21.36,86,90,20.71
28,Puerto Ayora,EC,2021-11-20 16:27:22,-0.7393,-90.3518,76.96,74,83,10.31
29,Mataura,NZ,2021-11-20 16:27:23,-46.1927,168.8643,50.31,99,100,3.0
30,Tagusao,PH,2021-11-20 16:27:23,9.1924,117.8141,80.17,83,88,2.33
31,Yellowknife,CA,2021-11-20 16:27:24,62.456,-114.3525,0.28,85,75,9.22
32,Sorrento,IT,2021-11-20 16:27:25,40.626,14.3744,64.53,50,2,7.36
33,Sobolevo,RU,2021-11-20 16:27:25,54.4299,31.8996,38.01,68,64,17.78
34,Severo-Kurilsk,RU,2021-11-20 16:27:26,50.6789,156.125,36.41,94,99,6.87
35,Longyearbyen,SJ,2021-11-20 16:27:26,78.2186,15.6401,6.64,72,40,10.36
36,Alofi,NU,2021-11-20 16:27:27,-19.0595,-169.9187,71.49,94,9,1.14
37,Viamao,BR,2021-11-20 16:27:27,-30.0811,-51.0233,83.68,36,0,2.3
38,Butaritari,KI,2021-11-20 16:27:28,3.0707,172.7902,81.91,66,97,14.12
39,Saskylakh,RU,2021-11-20 16:27:28,71.9167,114.0833,-22.2,98,92,6.29
40,Dikson,RU,2021-11-20 16:27:29,73.5069,80.5464,-10.66,92,51,12.19
41,Chokurdakh,RU,2021-11-20 16:27:29,70.6333,147.9167,-6.09,100,100,3.38
42,Kodiak,US,2021-11-20 16:27:30,57.79,-152.4072,35.11,69,90,28.77
43,Kapaa,US,2021-11-20 16:27:30,22.0752,-159.319,75.52,77,75,4.61
44,Cidreira,BR,2021-11-20 16:26:07,-30.1811,-50.2056,71.06,55,0,10.83
45,Port Elizabeth,ZA,2021-11-20 16:28:32,-33.918,25.5701,65.1,68,75,12.66
46,Hermanus,ZA,2021-11-20 16:27:23,-34.4187,19.2345,74.89,69,40,20.58
47,Rupert,US,2021-11-20 16:28:33,42.6191,-113.6772,37.35,75,1,9.22
48,East London,ZA,2021-11-20 16:27:49,-33.0153,27.9116,67.14,68,75,11.5
49,Port Blair,IN,2021-11-20 16:28:33,11.6667,92.75,81.73,86,66,13.06
50,Albany,US,2021-11-20 16:28:24,42.6001,-73.9662,42.62,61,30,1.99
51,Esperance,AU,2021-11-20 16:28:34,-33.8667,121.9,57.04,72,2,17.2
52,Fortuna,US,2021-11-20 16:26:16,40.5982,-124.1573,45.43,66,90,5.01
53,Coihaique,CL,2021-11-20 16:26:00,-45.5752,-72.0662,65.01,59,75,6.91
54,Qaanaaq,GL,2021-11-20 16:28:36,77.484,-69.3632,-5.28,71,17,6.93
55,Panaba,MX,2021-11-20 16:28:36,21.2833,-88.2667,82.17,69,100,10.36
56,Castro,BR,2021-11-20 16:28:37,-24.7911,-50.0119,73.0,57,75,4.94
57,Alpatovo,RU,2021-11-20 16:28:37,43.7028,45.2415,38.17,70,72,2.13
58,Tres Coracoes,BR,2021-11-20 16:28:38,-21.6969,-45.2533,74.1,76,99,3.87
59,Buraydah,SA,2021-11-20 16:28:39,26.326,43.975,72.05,17,1,8.19
60,Kotido,UG,2021-11-20 16:28:39,2.9806,34.1331,85.14,27,97,12.41
61,Winnemucca,US,2021-11-20 16:25:36,40.973,-117.7357,28.45,86,1,3.44
62,Balakhninskiy,RU,2021-11-20 16:28:40,58.0106,114.2769,4.95,95,100,2.48
63,Nikolskoye,RU,2021-11-20 16:27:27,59.7035,30.7861,37.87,77,95,12.68
64,Jamestown,US,2021-11-20 16:27:56,42.097,-79.2353,39.52,62,1,5.99
65,Quatre Cocos,MU,2021-11-20 16:28:42,-20.2078,57.7625,77.11,66,9,10.89
66,Sabzevar,IR,2021-11-20 16:28:42,36.2126,57.6819,45.18,29,0,1.41
67,Nanortalik,GL,2021-11-20 16:28:43,60.1432,-45.2371,38.26,97,100,14.74
68,Sitka,US,2021-11-20 16:27:28,57.0531,-135.33,33.69,60,90,11.5
69,Kaitangata,NZ,2021-11-20 16:28:44,-46.2817,169.8464,50.68,97,95,2.42
70,Tuatapere,NZ,2021-11-20 16:28:46,-46.1333,167.6833,50.22,94,100,4.0
71,Whitehorse,CA,2021-11-20 16:28:46,60.7161,-135.0538,-23.03,76,20,2.3
72,Kununurra,AU,2021-11-20 16:28:47,-15.7667,128.7333,82.38,78,73,0.0
73,Airai,TL,2021-11-20 16:28:02,-8.9266,125.4092,62.83,92,99,0.98
74,Biloela,AU,2021-11-20 16:28:48,-24.4167,150.5,67.32,73,92,3.29
75,Nabire,ID,2021-11-20 16:25:05,-3.3667,135.4833,77.18,89,100,2.55
76,Mar Del Plata,AR,2021-11-20 16:24:38,-38.0023,-57.5575,82.42,34,0,14.97
77,Avarua,CK,2021-11-20 16:28:31,-21.2078,-159.775,73.45,78,36,4.61
78,Chuy,UY,2021-11-20 16:28:49,-33.6971,-53.4616,80.33,42,0,10.47
79,Ukrayinka,UA,2021-11-20 16:28:50,47.9167,35.35,48.49,81,0,15.99
80,Lubango,AO,2021-11-20 16:28:50,-14.9172,13.4925,71.42,58,91,3.96
81,Norman Wells,CA,2021-11-20 16:28:51,65.282,-126.8329,-2.16,78,40,6.91
82,Goure,NE,2021-11-20 16:28:51,13.9835,10.2704,92.01,11,11,11.12
83,Ilulissat,GL,2021-11-20 16:28:18,69.2167,-51.1,26.62,54,75,5.75
84,Prince Rupert,CA,2021-11-20 16:28:52,54.3161,-130.3201,46.09,85,90,5.75
85,Mardan,PK,2021-11-20 16:28:52,34.2019,72.0525,55.94,27,0,3.8
86,Zhigansk,RU,2021-11-20 16:28:53,66.7697,123.3711,-26.16,100,98,6.35
87,Boguchany,RU,2021-11-20 16:28:54,58.3814,97.4531,5.97,97,100,3.31
88,Mahebourg,MU,2021-11-20 16:28:54,-20.4081,57.7,77.29,73,40,10.36
89,Tsabong,BW,2021-11-20 16:28:55,-26.0217,22.401,92.39,7,31,11.52
90,Tiksi,RU,2021-11-20 16:28:55,71.6872,128.8694,-13.54,97,100,6.55
91,Kodinsk,RU,2021-11-20 16:29:55,58.6881,99.1844,3.18,96,100,3.67
92,Port Lincoln,AU,2021-11-20 16:29:56,-34.7333,135.8667,54.77,71,23,13.62
93,Savalou,BJ,2021-11-20 16:29:57,7.9281,1.9756,95.79,28,12,5.19
94,Busselton,AU,2021-11-20 16:27:20,-33.65,115.3333,58.59,63,33,12.57
95,Raudeberg,NO,2021-11-20 16:29:58,61.9875,5.1352,40.87,87,100,7.0
96,Hithadhoo,MV,2021-11-20 16:29:58,-0.6,73.0833,81.07,81,100,16.35
97,Sorland,NO,2021-11-20 16:29:59,67.667,12.6934,39.2,62,98,29.51
98,Port Alfred,ZA,2021-11-20 16:29:59,-33.5906,26.891,65.12,67,63,16.28
99,Dingle,PH,2021-11-20 16:30:00,10.9995,122.6711,76.5,91,59,4.27
100,Muros,ES,2021-11-20 16:30:00,42.7762,-9.0603,66.7,62,86,5.93
101,Ponta Do Sol,PT,2021-11-20 16:27:46,32.6667,-17.1,70.72,66,72,3.11
102,Camacha,PT,2021-11-20 16:30:01,33.0833,-16.3333,67.42,56,20,4.61
103,Pevek,RU,2021-11-20 16:30:01,69.7008,170.3133,-10.32,97,73,2.84
104,Iqaluit,CA,2021-11-20 16:30:02,63.7506,-68.5145,13.73,78,90,25.99
105,Ilhabela,BR,2021-11-20 16:30:03,-23.7781,-45.3581,69.12,88,99,7.31
106,Mossendjo,CG,2021-11-20 16:30:03,-2.9506,12.7261,70.5,99,100,2.57
107,Talara,PE,2021-11-20 16:30:04,-4.5772,-81.2719,75.96,60,0,16.11
108,Vaini,TO,2021-11-20 16:30:04,-21.2,-175.2,71.76,100,20,2.3
109,Kieta,PG,2021-11-20 16:30:05,-6.2167,155.6333,77.94,83,98,1.14
110,Menongue,AO,2021-11-20 16:29:15,-14.6585,17.691,66.7,88,96,4.03
111,New Norfolk,AU,2021-11-20 16:27:24,-42.7826,147.0587,51.3,81,76,2.62
112,Buala,SB,2021-11-20 16:30:07,-8.145,159.5921,78.87,78,97,0.47
113,Souillac,MU,2021-11-20 16:30:07,-20.5167,57.5167,77.38,73,40,10.36
114,Phuket,TH,2021-11-20 16:30:08,8.0,98.25,85.08,100,75,2.3
115,Pekalongan,ID,2021-11-20 16:30:08,-6.8886,109.6753,74.01,79,99,3.74
116,Upernavik,GL,2021-11-20 16:30:09,72.7868,-56.1549,5.32,72,95,6.96
117,Alice Town,BS,2021-11-20 16:30:10,25.7167,-79.3,77.77,79,99,23.22
118,Kasongo-Lunda,CD,2021-11-20 16:30:11,-6.4667,16.8167,70.43,97,93,2.21
119,Lismore,AU,2021-11-20 16:30:11,-28.8135,153.2773,68.7,95,90,5.75
120,Bengkulu,ID,2021-11-20 16:30:12,-3.8004,102.2655,76.77,89,94,3.49
121,Syava,RU,2021-11-20 16:30:13,58.0146,46.3222,29.17,97,100,5.75
122,Torbay,CA,2021-11-20 16:30:14,47.6666,-52.7314,43.29,90,75,12.66
123,Beloha,MG,2021-11-20 16:30:14,-25.1667,45.05,71.96,85,60,12.41
124,Termiz,UZ,2021-11-20 16:30:15,37.2242,67.2783,39.29,81,0,2.3
125,Show Low,US,2021-11-20 16:27:04,34.2542,-110.0298,56.01,32,1,12.66
126,Tuktoyaktuk,CA,2021-11-20 16:27:51,69.4541,-133.0374,-5.8,77,40,4.61
127,Bilibino,RU,2021-11-20 16:30:16,68.0546,166.4372,-18.27,81,74,4.07
128,Kurilsk,RU,2021-11-20 16:30:17,45.2333,147.8833,35.56,76,99,19.26
129,Saurimo,AO,2021-11-20 16:30:17,-9.6608,20.3916,65.52,97,96,3.18
130,Namibe,AO,2021-11-20 16:30:18,-15.1961,12.1522,72.23,68,75,13.8
131,Vokhma,RU,2021-11-20 16:30:18,58.9303,46.7586,28.0,97,100,5.82
132,Olafsvik,IS,2021-11-20 16:30:19,64.8945,-23.7142,33.55,66,100,1.23
133,Baijiantan,CN,2021-11-20 16:30:20,45.6333,85.1833,22.37,40,18,9.42
134,Saint-Francois,FR,2021-11-20 16:30:20,46.4154,3.9054,43.48,93,90,4.61
135,Mayo,US,2021-11-20 16:30:21,38.8876,-76.5119,47.73,59,1,3.0
136,Harper,LR,2021-11-20 16:30:22,4.375,-7.7169,83.5,76,26,8.08
137,Logan Lake,CA,2021-11-20 16:30:22,50.4998,-120.8025,19.24,93,99,6.15
138,Cape Town,ZA,2021-11-20 16:28:33,-33.9258,18.4232,75.11,52,20,21.85
139,Walvis Bay,NA,2021-11-20 16:31:23,-22.9575,14.5053,67.15,59,37,9.22
140,Lebu,CL,2021-11-20 16:28:26,-37.6167,-73.65,60.01,76,49,16.15
141,Puerto Madero,MX,2021-11-20 16:31:24,14.7208,-92.4215,89.8,55,40,0.0
142,Hofn,IS,2021-11-20 16:31:24,64.2539,-15.2082,32.7,54,1,14.67
143,Inhambane,MZ,2021-11-20 16:31:25,-23.865,35.3833,75.18,88,75,4.61
144,Nalut,LY,2021-11-20 16:31:26,30.3333,10.85,64.94,49,80,11.18
145,Khatanga,RU,2021-11-20 16:31:26,71.9667,102.5,-24.02,99,98,6.06
146,Georgetown,MY,2021-11-20 16:31:27,5.4112,100.3354,80.53,93,20,5.01
147,Berbera,SO,2021-11-20 16:31:28,10.4396,45.0143,82.2,60,41,5.57
148,Antsohihy,MG,2021-11-20 16:31:28,-14.8796,47.9875,80.56,70,43,6.06
149,Tabou,CI,2021-11-20 16:31:28,4.423,-7.3528,83.41,75,17,7.23
